,scenario_id,scenario_name,timespan,ego_v_init,ego_v_mid,ego_v_end,ego_acc_init,ego_acc_mid,ego_acc_min,ego_breaktime_max,ego_breaktime_until_mid,l_rel_pos_init,p_rel_pos_init,ll_rel_pos_init,pl_rel_pos_init,lr_rel_pos_init,pr_rel_pos_init,l_rel_pos_mid,p_rel_pos_mid,ll_rel_pos_mid,pl_rel_pos_mid,lr_rel_pos_mid,pr_rel_pos_mid,l_rel_pos_end,p_rel_pos_end,ll_rel_pos_end,pl_rel_pos_end,lr_rel_pos_end,pr_rel_pos_end,surr_veh_count_init,surr_veh_count_mid,surr_veh_count_end
1987,1987,MPP_DEU_LocationA-35_T497F6439_T-1,3.2,33.7515,34.027,34.2721,0.25,0.0,-0.0075,0.04,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.3801,-1.0,25.6834,-1.0,-1.0,-1.0,55.0432,-1.0,34.6002,-1.0,-1.0,-1.0,71.9574,1,1,1
1988,1988,MPP_DEU_LocationA-35_T501F6517_T-1,3.2,30.5,30.4502,30.39,0.0,0.0,-0.25,0.08,0.0,60.321999999999996,35.1404,-1.0,36.6758,49.211999999999996,6.2709,57.6934,42.0406,-1.0,27.1623,38.0771,15.4067,55.3282,48.7003,-1.0,16.8381,27.3599,25.4819,5,5,5
1989,1989,MPP_DEU_LocationA-35_T505F6411_T-1,3.2,32.0328,32.2637,32.1266,0.005,0.0075,-0.2575,1.04,0.0,51.9501,-1.0,12.315,-1.0,92.3932,-1.0,42.2549,-1.0,16.2015,-1.0,78.6953,-1.0,21.1707,77.2846,-1.0,-1.0,32.6734,-1.0,3,3,3
1990,1990,MPP_DEU_LocationA-35_T506F6499_T-1,3.2,37.9724,37.5769,37.2847,-0.245,-0.25,-0.495,2.16,1.28,-1.0,41.8329,-1.0,-1.0,-1.0,50.1629,-1.0,-1.0,-1.0,-1.0,-1.0,28.480999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,15.7835,2,2,2
1991,1991,MPP_DEU_LocationA-35_T529F6743_T-1,3.2,24.7785,24.8505,24.9563,0.015,-0.01,-0.0175,0.12,0.04,-1.0,-1.0,46.9093,-1.0,-1.0,-1.0,56.909,-1.0,45.8917,-1.0,-1.0,-1.0,66.8502,-1.0,62.848,-1.0,-1.0,-1.0,1,1,1
1992,1992,MPP_DEU_LocationA-35_T533F6989_T-1,3.2,29.6453,29.8766,29.5728,0.255,0.0,-0.505,1.04,0.0,-1.0,-1.0,73.0514,-1.0,-1.0,-1.0,-1.0,-1.0,66.0277,-1.0,-1.0,-1.0,58.9426,-1.0,23.6454,38.8496,84.7724,-1.0,1,1,1
1993,1993,MPP_DEU_LocationA-35_T535F6875_T-1,3.2,32.0606,32.1581,32.2974,0.005,0.25,-0.0175,0.12,0.0,90.4213,-1.0,9.7727,-1.0,-1.0,4.7208,79.3871,-1.0,15.8034,77.3416,-1.0,8.1759,21.5601,73.304,-1.0,-1.0,68.4149,-1.0,3,3,3
1994,1994,MPP_DEU_LocationA-35_T537F7062_T-1,3.2,32.8757,32.7828,32.6302,-0.25,-0.0025,-0.255,0.24,0.0,-1.0,50.4373,-1.0,-1.0,-1.0,-1.0,-1.0,64.8917,-1.0,-1.0,-1.0,-1.0,-1.0,79.48,-1.0,-1.0,-1.0,-1.0,1,1,1
1995,1995,MPP_DEU_LocationA-35_T543F7101_T-1,3.2,34.5108,35.2049,34.8474,0.5,0.25,-0.5,0.92,0.0,40.9424,71.5927,-1.0,-1.0,-1.0,-1.0,40.4807,-1.0,-1.0,-1.0,-1.0,75.3535,-1.0,80.5834,39.9742,-1.0,-1.0,5.5932,2,2,2
1996,1996,MPP_DEU_LocationA-35_T546F7099_T-1,3.2,32.7118,32.3461,31.5908,0.0,-0.505,-0.5075,2.6,1.0,71.4518,78.7439,-1.0,-1.0,-1.0,56.3397,-1.0,68.2914,75.1433,78.8213,86.6338,91.3509,80.294,79.0206,-1.0,76.65899999999999,79.68,-1.0,3,3,3
1997,1997,MPP_DEU_LocationA-35_T559F7279_T-1,3.2,25.0458,24.9328,24.7923,-0.24,-0.0075,-0.265,1.48,0.28,-1.0,49.4921,-1.0,38.2853,-1.0,33.262,-1.0,35.6924,-1.0,48.9496,-1.0,-1.0,-1.0,38.067,-1.0,47.0494,-1.0,-1.0,3,3,3
1998,1998,MPP_DEU_LocationA-35_T562F7370_T-1,3.2,33.3916,33.2742,33.2101,-0.2575,-0.0025,-0.2575,1.24,0.48,-1.0,40.0748,-1.0,-1.0,7.7534,33.3738,-1.0,48.5801,-1.0,-1.0,-1.0,8.9941,-1.0,55.1409,-1.0,-1.0,92.9654,22.1005,3,3,3
1999,1999,MPP_DEU_LocationA-35_T569F7615_T-1,3.2,27.6338,27.9801,28.4594,0.255,0.255,0.0,0.0,0.0,25.7592,41.431000000000004,11.4009,-1.0,42.5695,8.1293,21.3344,-1.0,18.5928,36.7009,35.4297,14.9863,25.1599,33.03,-1.0,-1.0,16.7863,-1.0,5,5,5
2000,2000,MPP_DEU_LocationA-35_T573F7579_T-1,3.2,30.7603,30.8034,30.6178,0.0,0.005,-0.25,0.16,0.0,46.3313,-1.0,49.7458,-1.0,45.8653,40.6145,40.881,-1.0,52.705,-1.0,33.9492,52.2982,55.4643,-1.0,-1.0,-1.0,36.2908,-1.0,4,4,4
2001,2001,MPP_DEU_LocationA-35_T593F7713_T-1,3.2,32.1701,32.26,32.1233,0.0,0.0,-0.25,0.08,0.0,60.0303,-1.0,14.8634,-1.0,-1.0,-1.0,54.5615,-1.0,17.613,77.4178,-1.0,-1.0,49.8064,-1.0,19.5638,74.7498,88.7937,-1.0,2,2,2
2002,2002,MPP_DEU_LocationA-35_T594F7792_T-1,3.2,33.1702,33.4126,32.9564,0.25,0.005,-0.5,1.24,0.04,-1.0,23.4485,-1.0,-1.0,24.0682,6.3426,-1.0,21.546,-1.0,-1.0,-1.0,16.6016,-1.0,19.929000000000002,-1.0,-1.0,-1.0,25.2967,3,3,3
2003,2003,MPP_DEU_LocationA-35_T604F7981_T-1,3.2,30.7507,30.7763,30.5528,0.255,-0.01,-0.265,1.52,0.12,-1.0,25.951,-1.0,-1.0,64.3547,23.6344,63.3702,32.4117,-1.0,28.3219,22.8689,-1.0,62.5213,41.3751,-1.0,31.081,13.0608,-1.0,3,3,3
2004,2004,MPP_DEU_LocationA-35_T606F8035_T-1,3.2,34.2458,33.4344,32.7564,-0.495,-0.5,-0.75,3.2,1.6,-1.0,60.1901,-1.0,-1.0,79.9245,-1.0,74.8384,60.5739,-1.0,-1.0,-1.0,22.2648,-1.0,59.56,-1.0,-1.0,-1.0,24.5121,2,2,2
2005,2005,MPP_DEU_LocationA-35_T60F884_T-1,3.2,31.8649,31.6765,31.4425,0.0,-0.25,-0.255,0.28,0.04,-1.0,60.3538,-1.0,-1.0,73.0752,18.5742,67.3007,22.0336,-1.0,58.7567,44.5955,55.8535,-1.0,24.8917,-1.0,55.0343,34.6944,66.1994,3,3,3
2006,2006,MPP_DEU_LocationA-35_T611F8034_T-1,3.2,33.5063,33.6452,33.5308,0.25,0.0,-0.255,0.84,0.0,60.1499,-1.0,-1.0,-1.0,-1.0,49.617,60.583999999999996,55.3241,-1.0,-1.0,39.3195,50.1689,59.57,60.7832,-1.0,-1.0,35.733000000000004,63.8624,2,2,2
2007,2007,MPP_DEU_LocationA-35_T639F8356_T-1,3.2,24.1444,26.0498,29.0216,0.515,1.5125,0.515,0.0,0.0,12.8122,58.6287,5.171,46.9907,12.978,-1.0,11.1594,45.6117,14.6118,33.9074,10.9776,-1.0,23.7502,27.6307,-1.0,-1.0,6.4928,38.6029,5,5,5
2008,2008,MPP_DEU_LocationA-35_T640F8354_T-1,3.2,32.2709,32.4635,32.4709,0.245,0.245,-0.25,0.32,0.16,48.2606,39.9634,-1.0,-1.0,-1.0,29.491999999999997,-1.0,43.4156,52.9024,40.9306,83.48700000000001,9.6916,-1.0,57.06100000000001,58.1324,39.6361,69.2412,22.9144,3,3,3
2009,2009,MPP_DEU_LocationA-35_T644F8379_T-1,3.2,32.8602,31.7232,30.351999999999997,-0.5,-1.0,-1.25,3.2,1.6,50.5517,88.382,12.1994,54.7313,61.7704,50.523,48.3524,90.2755,11.3635,55.9923,46.4138,65.1308,11.284,53.8547,-1.0,-1.0,38.0613,90.476,6,6,6
2010,2010,MPP_DEU_LocationA-35_T64F786_T-1,3.2,33.5201,33.89,34.3703,0.0,0.25,0.0,0.0,0.0,-1.0,37.4108,-1.0,-1.0,-1.0,7.3729,-1.0,38.8403,-1.0,-1.0,-1.0,4.2878,-1.0,40.4401,-1.0,-1.0,96.1458,10.4085,2,2,2
2011,2011,MPP_DEU_LocationA-35_T688F9222_T-1,3.2,33.4606,32.7998,32.12,-0.25,-0.52,-0.5275,3.2,1.6,-1.0,34.2626,-1.0,-1.0,81.6174,64.0362,-1.0,70.1264,-1.0,35.4456,-1.0,-1.0,-1.0,75.6404,-1.0,69.611,-1.0,-1.0,3,3,3
2012,2012,MPP_DEU_LocationA-35_T698F9154_T-1,3.2,24.2951,24.3385,24.1672,0.0075,0.0,-0.2675,0.96,0.0,-1.0,-1.0,-1.0,-1.0,33.1837,27.0372,31.7103,28.4948,-1.0,-1.0,-1.0,-1.0,30.3108,29.4363,-1.0,-1.0,-1.0,-1.0,2,2,2
2013,2013,MPP_DEU_LocationA-35_T719F9513_T-1,3.2,30.1679,30.1896,30.1432,0.0,-0.0075,-0.2575,0.92,0.0,-1.0,40.2387,17.3336,-1.0,-1.0,-1.0,19.9546,-1.0,-1.0,19.1893,-1.0,37.2661,22.9414,-1.0,-1.0,11.5895,-1.0,34.2813,2,2,2
2014,2014,MPP_DEU_LocationA-35_T733F9814_T-1,3.2,33.4305,33.6749,33.8574,0.0025,0.0075,-0.0125,0.08,0.0,43.504,-1.0,-1.0,-1.0,44.1053,32.9485,35.2128,-1.0,-1.0,-1.0,26.8072,54.3802,-1.0,-1.0,-1.0,-1.0,27.0438,-1.0,3,3,3
2015,2015,MPP_DEU_LocationA-35_T736F9877_T-1,3.2,32.39,32.86,33.38,0.25,0.25,0.25,0.0,0.0,-1.0,68.571,-1.0,38.7486,40.2921,67.916,-1.0,36.4517,-1.0,73.3849,20.9139,83.87899999999999,-1.0,34.8525,-1.0,71.6468,4.32,99.7901,4,4,4
2016,2016,MPP_DEU_LocationA-35_T744F9851_T-1,3.2,33.5832,33.57,33.5971,0.005,0.0,-0.25,0.04,0.0,57.4201,47.2658,41.4555,-1.0,60.9477,-1.0,44.3241,53.5902,42.2277,-1.0,43.9518,-1.0,43.0387,-1.0,-1.0,-1.0,31.5101,59.2913,4,4,4
2017,2017,MPP_DEU_LocationA-35_T747F9893_T-1,3.2,33.3121,33.6857,33.9837,0.2525,0.25,-0.005,0.04,0.0,26.8944,-1.0,-1.0,34.4134,-1.0,-1.0,21.4814,29.3648,80.8716,32.5002,-1.0,72.0864,80.5303,31.2037,-1.0,-1.0,16.0052,31.8858,2,2,2
2018,2018,MPP_DEU_LocationA-35_T751F10081_T-1,3.2,34.9429,34.8447,34.7929,0.0025,0.0,-0.255,0.08,0.0,-1.0,60.2158,-1.0,104.4997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.0504,-1.0,-1.0,-1.0,-1.0,-1.0,56.7669,2,2,2
2019,2019,MPP_DEU_LocationA-35_T756F10011_T-1,3.2,31.822,31.9393,32.0697,0.2575,0.0075,-0.015,0.08,0.0,21.1918,-1.0,14.1876,-1.0,79.7309,-1.0,16.6201,-1.0,18.1183,-1.0,78.5978,-1.0,22.1942,-1.0,-1.0,-1.0,12.184000000000001,-1.0,3,3,3
2020,2020,MPP_DEU_LocationA-35_T762F10264_T-1,3.2,38.56,38.04,37.38,-0.25,-0.25,-0.5,3.12,1.52,108.31,85.631,24.9495,-1.0,11.8744,-1.0,-1.0,95.7702,23.776999999999997,-1.0,-1.0,4.0538,-1.0,105.2201,-1.0,-1.0,-1.0,14.411,4,4,4
2021,2021,MPP_DEU_LocationA-35_T776F10391_T-1,3.2,32.6404,32.79,32.8503,0.0,0.0,-0.0025,0.04,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.0841,-1.0,-1.0,-1.0,86.4588,0,0,0
2022,2022,MPP_DEU_LocationA-35_T779F10570_T-1,3.2,34.3049,33.8195,33.6128,-0.245,-0.25,-0.5,3.12,1.6,-1.0,57.8483,-1.0,-1.0,-1.0,53.0441,-1.0,53.8857,-1.0,-1.0,-1.0,71.99,-1.0,90.4876,-1.0,48.6907,-1.0,-1.0,2,2,2
2023,2023,MPP_DEU_LocationA-35_T784F10490_T-1,3.2,27.171999999999997,27.989,29.2577,0.2575,0.5075,0.255,0.0,0.0,28.2748,-1.0,9.9662,-1.0,50.4361,-1.0,24.1205,-1.0,25.629,32.5972,43.3404,-1.0,40.2942,23.5755,-1.0,-1.0,18.347,-1.0,3,3,3
2024,2024,MPP_DEU_LocationA-35_T791F10803_T-1,3.2,32.9202,32.55,32.2401,0.0,-0.25,-0.2525,1.64,1.28,-1.0,27.3931,47.7788,75.0977,19.6107,17.9,-1.0,27.6388,48.615,73.2571,6.8672,32.4982,-1.0,26.9954,49.7271,69.2094,-1.0,7.8366,5,5,5
2025,2025,MPP_DEU_LocationA-35_T792F10674_T-1,3.2,24.1814,24.1425,23.8501,0.0025,0.0,-0.5025,0.96,0.04,52.1748,-1.0,-1.0,10.4608,-1.0,-1.0,51.071000000000005,-1.0,34.8285,9.0203,-1.0,-1.0,49.96,-1.0,48.8196,7.4133,-1.0,-1.0,2,2,2
2026,2026,MPP_DEU_LocationA-35_T794F10859_T-1,3.2,32.7407,32.7703,32.5602,0.0,0.0,-0.2525,0.08,0.0,27.4722,58.215,76.3644,44.3998,28.445999999999998,11.38,26.5927,69.5923,-1.0,40.5354,15.4452,25.4185,-1.0,80.5604,-1.0,35.2572,4.7955,39.6907,6,6,6
2027,2027,MPP_DEU_LocationA-35_T796F10823_T-1,3.2,32.029,31.7733,31.6001,-0.25,-0.0025,-0.2575,2.44,1.4,-1.0,60.6607,-1.0,71.6063,-1.0,-1.0,-1.0,73.3848,-1.0,70.2896,-1.0,-1.0,-1.0,85.9706,-1.0,69.2251,-1.0,-1.0,2,2,2
2028,2028,MPP_DEU_LocationA-35_T818F11102_T-1,3.2,34.246,33.5775,32.7022,-0.245,-0.5,-0.755,3.2,1.6,-1.0,52.4459,-1.0,-1.0,43.3823,23.2119,-1.0,53.0218,-1.0,-1.0,39.0726,31.5481,35.4544,38.455999999999996,-1.0,51.5982,-1.0,6.5709,3,3,3
2029,2029,MPP_DEU_LocationA-35_T819F11175_T-1,3.2,32.0436,32.6059,33.4173,0.2525,0.25,0.2475,0.0,0.0,59.4401,22.0699,8.2538,35.3832,-1.0,20.584,11.3174,33.5902,-1.0,-1.0,-1.0,16.8324,14.3689,32.6072,-1.0,-1.0,-1.0,11.0402,5,5,5
2030,2030,MPP_DEU_LocationA-35_T823F11180_T-1,3.2,27.5484,27.968000000000004,28.2842,0.25,0.25,-0.005,0.04,0.0,-1.0,-1.0,10.882,23.7441,-1.0,-1.0,-1.0,-1.0,15.1411,20.7514,-1.0,-1.0,19.2774,18.8992,-1.0,-1.0,-1.0,-1.0,2,2,2
2031,2031,MPP_DEU_LocationA-35_T849F11608_T-1,3.2,34.7401,34.1405,33.2201,-0.25,-0.75,-0.7525,3.08,1.48,-1.0,32.5811,59.6693,90.2415,-1.0,7.814,47.902,33.0016,-1.0,56.8866,41.6079,22.5871,44.0102,32.4021,-1.0,54.342,26.3164,36.9044,4,4,4
2032,2032,MPP_DEU_LocationA-35_T855F11628_T-1,3.2,32.7186,32.9949,33.2641,0.255,-0.0075,-0.0125,0.04,0.0,-1.0,31.796,-1.0,-1.0,58.9979,12.2812,-1.0,31.3012,-1.0,-1.0,60.9905,23.9727,62.5963,36.5665,-1.0,31.5677,50.777,4.9432,3,3,3
2033,2033,MPP_DEU_LocationA-35_T870F11736_T-1,3.2,32.2654,32.382,32.4101,0.0,-0.005,-0.005,0.16,0.0,-1.0,30.4455,-1.0,21.0319,34.7808,46.8574,-1.0,37.2164,-1.0,15.7282,26.2572,62.2517,-1.0,44.5559,-1.0,9.4935,17.8726,77.8314,4,4,4
2034,2034,MPP_DEU_LocationA-35_T874F11806_T-1,3.2,27.7771,27.4501,27.1169,-0.2375,0.0,-0.2675,1.36,0.2,42.6708,75.0534,32.5072,57.7695,62.1963,31.3349,61.2695,38.9739,50.412,75.9748,-1.0,-1.0,61.1542,46.1635,58.7224,76.0706,-1.0,-1.0,6,6,6
2035,2035,MPP_DEU_LocationA-35_T881F11939_T-1,3.2,33.763000000000005,33.9708,33.99,0.2475,0.2475,-0.25,0.04,0.0,94.3411,50.9616,-1.0,62.9632,24.3906,31.281999999999996,92.4701,61.3103,-1.0,60.3364,12.9291,48.5927,-1.0,71.3503,-1.0,57.8105,3.7251,66.04,5,5,5
2036,2036,MPP_DEU_LocationA-35_T898F12161_T-1,3.2,32.324,32.0411,32.03,-0.2575,-0.0025,-0.265,1.68,1.6,91.9245,49.5536,58.2368,54.9592,66.094,43.0625,-1.0,60.7702,64.5443,54.5261,51.4436,57.0845,-1.0,71.81,-1.0,53.4341,-1.0,71.1007,6,6,6
2037,2037,MPP_DEU_LocationA-35_T904F12121_T-1,3.2,29.0326,29.996,31.3113,0.5075,1.0075,0.2525,0.0,0.0,26.8956,79.0419,10.945,70.6999,36.6616,32.632,19.7724,83.6585,14.5087,63.5384,27.163,42.9544,17.123,58.1721,-1.0,-1.0,11.2439,90.3459,6,6,6
2038,2038,MPP_DEU_LocationA-35_T918F12355_T-1,3.2,29.5867,30.3798,31.3613,0.505,0.5,0.25,0.0,0.0,57.3142,42.2002,18.7373,-1.0,72.6532,18.0467,52.68600000000001,38.3588,26.6035,-1.0,62.861999999999995,28.2151,-1.0,-1.0,-1.0,-1.0,-1.0,36.0875,5,5,5
2039,2039,MPP_DEU_LocationA-35_T921F12261_T-1,3.2,32.9501,32.64,32.33,0.0,-0.25,-0.25,0.68,0.56,55.04,-1.0,51.3668,-1.0,24.6148,98.1629,48.9718,-1.0,55.7772,-1.0,10.3128,-1.0,43.7104,-1.0,59.3616,-1.0,30.0826,7.5958,4,4,4
2040,2040,MPP_DEU_LocationA-35_T92F1151_T-1,3.2,27.0971,26.8044,26.3462,0.005,-0.2475,-0.5125,1.96,0.36,-1.0,34.858000000000004,-1.0,9.4874,73.9371,15.099,68.3916,20.3515,-1.0,33.4791,-1.0,-1.0,63.4316,25.3602,-1.0,30.9963,-1.0,-1.0,4,4,4
2041,2041,MPP_DEU_LocationA-35_T936F12550_T-1,3.2,29.5049,29.3844,29.237,0.005,0.0,-0.2625,0.88,0.0,76.0067,53.5009,46.121,-1.0,-1.0,5.3605,-1.0,45.1962,55.5409,-1.0,-1.0,15.3752,-1.0,-1.0,-1.0,-1.0,-1.0,36.7399,4,4,4
2042,2042,MPP_DEU_LocationA-35_T944F12631_T-1,3.2,32.9464,32.5614,31.9255,0.005,-0.25,-0.51,2.64,1.04,64.3744,69.9385,-1.0,-1.0,52.2973,63.2536,48.0941,66.1808,66.399,69.9102,61.8008,45.4584,45.225,67.9848,-1.0,68.0979,49.4661,56.6819,4,4,4
2043,2043,MPP_DEU_LocationA-35_T945F12606_T-1,3.2,31.3641,31.3145,31.256,0.0,0.0,-0.255,0.08,0.0,-1.0,51.5989,-1.0,-1.0,-1.0,28.3097,-1.0,49.5308,-1.0,-1.0,-1.0,38.5925,-1.0,47.2043,-1.0,-1.0,-1.0,48.9565,2,2,2
2044,2044,MPP_DEU_LocationA-35_T959F12788_T-1,3.2,31.144000000000002,31.2124,31.4446,0.0075,0.0,-0.0075,0.04,0.0,-1.0,40.1205,36.758,78.7479,-1.0,-1.0,37.7102,71.4258,-1.0,-1.0,-1.0,31.5293,-1.0,64.3184,-1.0,-1.0,-1.0,21.1679,3,3,3
2045,2045,MPP_DEU_LocationA-35_T960F12666_T-1,3.2,32.864000000000004,34.7159,35.5532,1.2575,0.7425,0.24,0.0,0.0,29.142,55.7505,38.7866,-1.0,31.7405,-1.0,24.3703,60.7088,42.3835,95.2323,18.5379,-1.0,41.7237,86.2262,-1.0,-1.0,17.8409,65.6044,4,4,4
2046,2046,MPP_DEU_LocationA-35_T972F13006_T-1,3.2,34.9103,34.7701,34.61,-0.25,0.0,-0.25,0.08,0.0,81.2403,31.3915,-1.0,51.4191,61.6274,71.8432,-1.0,39.01,-1.0,52.8548,45.69,88.1564,-1.0,46.6701,-1.0,53.9438,-1.0,-1.0,5,5,5
2047,2047,MPP_DEU_LocationA-35_T97F1158_T-1,3.2,33.8201,34.1301,34.38,0.0,0.25,-0.0025,0.04,0.0,93.6723,62.12,-1.0,19.5861,-1.0,24.3304,93.1404,67.04,-1.0,14.184000000000001,-1.0,38.5982,92.6502,71.9301,-1.0,8.5812,89.8197,53.1981,4,4,4
2048,2048,MPP_DEU_LocationA-36_T1001F11922_T-1,3.2,27.1644,28.0111,28.9347,0.505,0.5,0.49,0.0,0.0,-1.0,25.6595,14.1059,45.611000000000004,-1.0,22.5346,20.5969,43.1526,-1.0,-1.0,-1.0,24.0155,26.6129,43.354,-1.0,-1.0,-1.0,18.2823,4,4,4
2049,2049,MPP_DEU_LocationA-36_T1016F11868_T-1,3.2,31.4412,31.585,31.5541,0.0025,0.2525,-0.255,0.2,0.0,51.4111,42.095,8.4365,38.8423,20.9527,23.8591,45.8842,47.0875,11.5788,36.6997,8.4503,39.3634,15.4311,34.7318,-1.0,-1.0,40.4623,51.1831,6,6,6
2050,2050,MPP_DEU_LocationA-36_T1019F12019_T-1,3.2,28.4242,28.8031,28.7817,0.0,0.0,-0.2525,0.12,0.0,-1.0,21.4022,9.6784,16.5306,-1.0,6.5699,11.6431,14.5945,-1.0,-1.0,-1.0,18.6412,13.4862,14.205,-1.0,-1.0,-1.0,15.2208,4,4,4
2051,2051,MPP_DEU_LocationA-36_T1031F12079_T-1,3.2,32.9204,32.99,32.5503,0.25,-0.25,-0.5,1.32,0.04,30.8103,68.8807,-1.0,-1.0,-1.0,38.7085,27.9303,72.3106,-1.0,-1.0,-1.0,73.5467,25.4111,74.2606,-1.0,-1.0,-1.0,81.6685,3,3,3
2052,2052,MPP_DEU_LocationA-36_T1032F12186_T-1,3.2,24.9104,25.0001,25.13,-0.0025,0.25,-0.0025,0.04,0.0,-1.0,50.1213,-1.0,13.0858,-1.0,-1.0,-1.0,54.2009,-1.0,6.2409,-1.0,-1.0,-1.0,58.1609,6.3494,50.5826,-1.0,-1.0,2,2,2
2053,2053,MPP_DEU_LocationA-36_T1045F12334_T-1,3.2,32.7265,32.4652,32.3957,-0.235,-0.2475,-0.27,0.96,0.0,-1.0,43.0128,54.6172,-1.0,-1.0,33.5604,57.8635,-1.0,-1.0,-1.0,-1.0,29.5092,-1.0,95.2119,-1.0,-1.0,-1.0,-1.0,3,3,3
2054,2054,MPP_DEU_LocationA-36_T1079F12735_T-1,3.2,33.0449,32.8651,32.6814,-0.245,-0.005,-0.255,0.68,0.32,-1.0,70.5469,-1.0,-1.0,-1.0,76.4652,-1.0,-1.0,-1.0,-1.0,-1.0,64.1623,-1.0,-1.0,-1.0,-1.0,-1.0,65.469,2,2,2
2055,2055,MPP_DEU_LocationA-36_T1102F13079_T-1,3.2,33.2401,32.95,32.7202,-0.25,-0.25,-0.2525,0.2,0.0,-1.0,23.5204,-1.0,33.6912,76.1666,-1.0,-1.0,25.8404,83.4926,33.4131,-1.0,61.7516,-1.0,27.8433,-1.0,33.1472,-1.0,-1.0,3,3,3
2056,2056,MPP_DEU_LocationA-36_T1104F13188_T-1,3.2,26.7784,27.7118,29.215,0.2625,0.99,0.2625,0.0,0.0,20.8883,-1.0,68.7639,49.2168,-1.0,-1.0,18.5315,-1.0,-1.0,45.99100000000001,-1.0,-1.0,-1.0,44.74,-1.0,24.1523,-1.0,-1.0,3,3,3
2057,2057,MPP_DEU_LocationA-36_T1165F13773_T-1,3.2,27.1623,27.2785,27.4655,0.0025,0.0,-0.0075,0.04,0.0,-1.0,-1.0,16.5941,-1.0,-1.0,-1.0,51.4894,-1.0,20.765,43.7673,-1.0,-1.0,24.9464,38.9321,5.3758,-1.0,47.0676,-1.0,1,1,1
2058,2058,MPP_DEU_LocationA-36_T1169F13994_T-1,3.2,30.6869,30.996,31.5417,0.005,0.245,-0.005,0.04,0.0,23.3323,-1.0,80.3964,-1.0,53.1771,77.764,19.054000000000002,-1.0,92.5219,-1.0,44.4516,83.51,-1.0,-1.0,-1.0,-1.0,14.4126,-1.0,4,4,4
2059,2059,MPP_DEU_LocationA-36_T1173F13901_T-1,3.2,26.819000000000003,26.9953,27.1428,0.26,0.2425,-0.0175,0.08,0.04,64.4908,45.2239,-1.0,-1.0,-1.0,34.5343,-1.0,40.6387,70.2804,43.7895,-1.0,-1.0,-1.0,46.8606,75.9307,41.8436,-1.0,-1.0,3,3,3
2060,2060,MPP_DEU_LocationA-36_T1184F14040_T-1,3.2,35.4825,34.1329,33.0949,-0.4975,-0.9975,-1.25,3.2,1.6,-1.0,-1.0,24.2002,-1.0,99.28299999999999,-1.0,31.4465,-1.0,21.8408,-1.0,80.6975,-1.0,21.0355,-1.0,-1.0,-1.0,22.9952,-1.0,2,2,2
2061,2061,MPP_DEU_LocationA-36_T1189F14263_T-1,3.2,36.3343,36.5028,36.9508,0.25,0.0,-0.005,0.04,0.0,89.7673,42.2751,90.0815,-1.0,103.4963,-1.0,-1.0,52.1024,-1.0,-1.0,-1.0,-1.0,-1.0,62.0901,-1.0,-1.0,-1.0,-1.0,4,4,4
2062,2062,MPP_DEU_LocationA-36_T1201F14287_T-1,3.2,34.2001,34.2801,34.1306,0.25,0.0,-0.2525,0.04,0.0,60.1409,25.2811,-1.0,-1.0,10.9504,-1.0,57.0542,31.3517,-1.0,-1.0,-1.0,6.261,54.0585,36.6605,-1.0,-1.0,-1.0,20.0466,3,3,3
2063,2063,MPP_DEU_LocationA-36_T1221F14696_T-1,3.2,31.8788,32.3243,32.8635,0.2625,0.4975,0.005,0.0,0.0,34.6977,-1.0,71.7309,-1.0,18.3793,-1.0,24.5353,-1.0,16.8754,-1.0,8.3321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,3,3
2064,2064,MPP_DEU_LocationA-36_T1225F14722_T-1,3.2,31.5352,30.6878,29.6727,-0.2475,-0.7575,-0.7575,3.2,1.6,-1.0,44.875,-1.0,-1.0,-1.0,23.2273,-1.0,-1.0,-1.0,-1.0,-1.0,42.0116,-1.0,-1.0,-1.0,-1.0,-1.0,38.0695,2,2,2
2065,2065,MPP_DEU_LocationA-36_T1226F14731_T-1,3.2,24.5062,24.5315,24.5336,0.005,0.0,-0.255,0.76,0.0,-1.0,38.5051,20.494,-1.0,-1.0,-1.0,-1.0,34.6699,33.7837,60.55,-1.0,-1.0,46.3977,47.8827,-1.0,-1.0,-1.0,30.4005,2,2,2
2066,2066,MPP_DEU_LocationA-36_T1227F14789_T-1,3.2,32.49,30.6315,28.1466,-0.5,-1.4975,-1.75,3.2,1.6,-1.0,39.6169,39.4113,-1.0,-1.0,8.1981,83.49,51.1541,35.806,-1.0,-1.0,23.23,-1.0,59.2047,34.272,-1.0,-1.0,35.4757,3,3,3
2067,2067,MPP_DEU_LocationA-36_T1229F14787_T-1,3.2,32.5373,32.4773,32.7844,-0.2325,0.2425,-0.24,0.16,0.0,-1.0,55.3772,-1.0,-1.0,-1.0,88.3425,-1.0,-1.0,-1.0,-1.0,-1.0,42.8623,-1.0,-1.0,-1.0,-1.0,-1.0,29.7917,2,2,2
